Symbol,Company Name,Sector
IMAGICAA.NS,IMAGICAA,Other
INDGN.NS,INDGN,Other
INDIACEM.NS,INDIACEM,Other
INDIAGLYCO.NS,INDIAGLYCO,Other
INDIASHLTR.NS,INDIASHLTR,Other
INDIAMART.NS,INDIAMART,Other
INDIANB.NS,INDIANB,Other
IEX.NS,IEX,Other
INDHOTEL.NS,Indian Hotels Company Ltd,Hospitality
IMFA.NS,IMFA,Other
IOC.NS,Indian Oil Corporation Ltd,Energy
IOB.NS,Indian Overseas Bank,Banking
IRCTC.NS,Indian Railway Catering and Tourism Corp,Infrastructure
IRFC.NS,Indian Railway Finance Corp Ltd,Finance
IREDA.NS,IREDA,Other
INDIGOPNTS.NS,INDIGOPNTS,Other
ICIL.NS,ICIL,Other
IGL.NS,Indraprastha Gas Ltd,Energy
INDUSTOWER.NS,Indus Towers Ltd,Telecom
INDUSINDBK.NS,IndusInd Bank Ltd,Banking
NAUKRI.NS,Info Edge India Ltd,Technology
INFY.NS,Infosys Ltd,Technology
INGERRAND.NS,INGERRAND,Other
INNOVACAP.NS,INNOVACAP,Other
INOXGREEN.NS,Inox Green Energy Services Ltd,Energy
INOXWIND.NS,Inox Wind Ltd,Energy
INTELLECT.NS,Intellect Design Arena Ltd,Technology
INDIGO.NS,INDIGO,Other
IGIL.NS,IGIL,Other
IKS.NS,IKS,Other
IONEXCHANG.NS,IONEXCHANG,Other
IPCALAB.NS,IPCA Laboratories Ltd,Pharma
ISGEC.NS,ISGEC,Other
JBCHEPHARM.NS,JBCHEPHARM,Other
JKCEMENT.NS,JK Cement Ltd,Cement
JKIL.NS,JKIL,Other
JBMA.NS,JBM Auto Ltd,Automobile
JKLAKSHMI.NS,JK Lakshmi Cement Ltd,Cement
JKPAPER.NS,JK Paper Ltd,Paper
JKTYRE.NS,JKTYRE,Other
JMFINANCIL.NS,JMFINANCIL,Other
JSWCEMENT.NS,JSWCEMENT,Other
JSWENERGY.NS,JSW Energy Ltd,Energy
JSWINFRA.NS,JSWINFRA,Other
JSWSTEEL.NS,JSW Steel Ltd,Metals
JAIBALAJI.NS,JAIBALAJI,Other
JISLJALEQS.NS,JISLJALEQS,Other
JPPOWER.NS,Jaiprakash Power Ventures Ltd,Energy
J&KBANK.NS,J&KBANK,Other
JAMNAAUTO.NS,JAMNAAUTO,Other
JSFB.NS,JSFB,Other
JINDALSAW.NS,JINDALSAW,Other
JSL.NS,JSL,Other
JINDALSTEL.NS,JINDALSTEL,Other
JINDWORLD.NS,JINDWORLD,Other
JIOFIN.NS,JIOFIN,Other
JUBLFOOD.NS,JUBLFOOD,Other
JUBLINGREA.NS,JUBLINGREA,Other
JUBLPHARMA.NS,JUBLPHARMA,Other
JWL.NS,JWL,Other
JUSTDIAL.NS,Just Dial Ltd,Technology
JYOTHYLAB.NS,Jyothy Labs Ltd,FMCG
JYOTICNC.NS,JYOTICNC,Other
KPRMILL.NS,KPRMILL,Other
KEI.NS,KEI Industries Ltd,Capital Goods
KNRCON.NS,KNRCON,Other
KPIGREEN.NS,KPIGREEN,Other
KPITTECH.NS,KPIT Technologies Ltd,Technology
KRBL.NS,KRBL,Other
KRN.NS,KRN,Other
KSB.NS,KSB,Other
KAJARIACER.NS,KAJARIACER,Other
KPIL.NS,KPIL,Other
KALYANKJIL.NS,KALYANKJIL,Other
KSL.NS,KSL,Other
KANSAINER.NS,KANSAINER,Other
KTKBANK.NS,KTKBANK,Other
KARURVYSYA.NS,Karur Vysya Bank Ltd,Banking
KSCL.NS,KSCL,Other
KAYNES.NS,KAYNES,Other
KEC.NS,KEC International Ltd,Capital Goods
KFINTECH.NS,KFin Technologies Ltd,Finance
KIRLOSBROS.NS,Kirloskar Brothers Ltd,Capital Goods
KIRLOSENG.NS,KIRLOSENG,Other
KIRLPNU.NS,KIRLPNU,Other
KITEX.NS,KITEX,Other
KOTAKBANK.NS,Kotak Mahindra Bank Ltd,Banking
KIMS.NS,KIMS,Other
LTF.NS,LTF,Other
LTTS.NS,LTTS,Other
LICHSGFIN.NS,LIC Housing Finance Ltd,Finance
LMW.NS,LMW,Other
LTFOODS.NS,LTFOODS,Other
LTM.NS,LTIMindtree Ltd,Technology
LT.NS,LT,Other
LATENTVIEW.NS,LATENTVIEW,Other
LAURUSLABS.NS,Laurus Labs Ltd,Pharma
LXCHEM.NS,LXCHEM,Other
IXIGO.NS,Le Travenues Technology Ltd,Technology
THELEELA.NS,THELEELA,Other
LEMONTREE.NS,LEMONTREE,Other
LICI.NS,LICI,Other
LINDEINDIA.NS,LINDEINDIA,Other
LLOYDSENGG.NS,LLOYDSENGG,Other
LLOYDSENT.NS,LLOYDSENT,Other
LLOYDSME.NS,LLOYDSME,Other
LODHA.NS,LODHA,Other
LUMAXTECH.NS,LUMAXTECH,Other
LUPIN.NS,Lupin Ltd,Pharma
LUXIND.NS,LUXIND,Other
MMTC.NS,MMTC,Other
MOIL.NS,MOIL Ltd,Metals
MRF.NS,MRF Ltd,Auto Ancillary
MSTCLTD.NS,MSTCLTD,Other
MTARTECH.NS,MTARTECH,Other
MGL.NS,Mahanagar Gas Ltd,Energy
MAHSCOOTER.NS,MAHSCOOTER,Other
MAHSEAMLES.NS,MAHSEAMLES,Other
M&MFIN.NS,Mahindra and Mahindra Financial Services,Finance
M&M.NS,Mahindra and Mahindra Ltd,Automobile
MAHLIFE.NS,Mahindra Lifespace Developers Ltd,Real Estate
MANINFRA.NS,MANINFRA,Other
MANAPPURAM.NS,Manappuram Finance Ltd,Finance
MRPL.NS,MRPL,Other
MANKIND.NS,MANKIND,Other
MANORAMA.NS,MANORAMA,Other
MARICO.NS,Marico Ltd,FMCG
MARKSANS.NS,MARKSANS,Other
MARUTI.NS,Maruti Suzuki India Ltd,Automobile
MASTEK.NS,Mastek Ltd,Technology
MAXESTATES.NS,MAXESTATES,Other
MFSL.NS,MFSL,Other
MAXHEALTH.NS,Max Healthcare Institute Ltd,Healthcare
MAZDOCK.NS,Mazagon Dock Shipbuilders Ltd,Defence
MEDPLUS.NS,MEDPLUS,Other
METROPOLIS.NS,Metropolis Healthcare Ltd,Healthcare
MINDACORP.NS,MINDACORP,Other
MIDHANI.NS,Mishra Dhatu Nigam Ltd,Defence
MSUMI.NS,MSUMI,Other
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd,Finance
MPHASIS.NS,Mphasis Ltd,Technology
BECTORFOOD.NS,BECTORFOOD,Other
MCX.NS,Multi Commodity Exchange of India Ltd,Finance
MUTHOOTFIN.NS,Muthoot Finance Ltd,Finance
